date,value,memo
2026-03-02,1462.11,ECB reference rate (Frankfurter)
2026-03-03,1478.5,ECB reference rate (Frankfurter)
2026-03-04,1464.8,ECB reference rate (Frankfurter)
2026-03-05,1475.79,ECB reference rate (Frankfurter)
2026-03-06,1485.18,ECB reference rate (Frankfurter)
2026-03-09,1485.12,ECB reference rate (Frankfurter)
2026-03-10,1470.12,ECB reference rate (Frankfurter)
2026-03-11,1477.11,ECB reference rate (Frankfurter)
2026-03-12,1480.84,ECB reference rate (Frankfurter)
2026-03-13,1491.7,ECB reference rate (Frankfurter)
2026-03-16,1490.75,ECB reference rate (Frankfurter)
2026-03-17,1487.18,ECB reference rate (Frankfurter)
2026-03-18,1503.55,ECB reference rate (Frankfurter)
2026-03-19,1501.61,ECB reference rate (Frankfurter)
2026-03-20,1500.8,ECB reference rate (Frankfurter)
2026-03-23,1487.52,ECB reference rate (Frankfurter)
2026-03-24,1498.86,ECB reference rate (Frankfurter)
2026-03-25,1497.53,ECB reference rate (Frankfurter)
2026-03-26,1506.32,ECB reference rate (Frankfurter)
2026-03-27,1511.5,ECB reference rate (Frankfurter)
2026-03-30,1517.7,ECB reference rate (Frankfurter)
2026-03-31,1524.8,ECB reference rate (Frankfurter)
2026-04-01,1504.81,ECB reference rate (Frankfurter)
2026-04-02,1516.65,ECB reference rate (Frankfurter)
2026-04-07,1497.41,ECB reference rate (Frankfurter)
2026-04-08,1474.23,ECB reference rate (Frankfurter)
2026-04-09,1479.49,ECB reference rate (Frankfurter)
2026-04-10,1483.27,ECB reference rate (Frankfurter)
2026-04-13,1489.95,ECB reference rate (Frankfurter)
2026-04-14,1470.52,ECB reference rate (Frankfurter)
2026-04-15,1477.1,ECB reference rate (Frankfurter)
2026-04-16,1476.51,ECB reference rate (Frankfurter)
2026-04-17,1478.99,ECB reference rate (Frankfurter)
2026-04-20,1470.25,ECB reference rate (Frankfurter)
2026-04-21,1469.85,ECB reference rate (Frankfurter)
2026-04-22,1478.05,ECB reference rate (Frankfurter)
2026-04-23,1479.36,ECB reference rate (Frankfurter)
2026-04-24,1477.04,ECB reference rate (Frankfurter)
2026-04-27,1471.22,ECB reference rate (Frankfurter)
2026-04-28,1476.89,ECB reference rate (Frankfurter)
2026-04-29,1478.38,ECB reference rate (Frankfurter)
2026-04-30,1477.0,ECB reference rate (Frankfurter)
2026-05-04,1472.03,ECB reference rate (Frankfurter)
2026-05-05,1472.95,ECB reference rate (Frankfurter)
2026-05-06,1448.1,ECB reference rate (Frankfurter)
2026-05-07,1450.64,ECB reference rate (Frankfurter)
2026-05-08,1466.78,ECB reference rate (Frankfurter)
2026-05-11,1472.9,ECB reference rate (Frankfurter)
2026-05-12,1488.87,ECB reference rate (Frankfurter)
2026-05-13,1488.58,ECB reference rate (Frankfurter)
2026-05-14,1491.73,ECB reference rate (Frankfurter)
2026-05-15,1499.62,ECB reference rate (Frankfurter)
2026-05-18,1497.8,ECB reference rate (Frankfurter)
2026-05-19,1508.75,ECB reference rate (Frankfurter)
2026-05-20,1505.44,ECB reference rate (Frankfurter)
2026-05-21,1508.74,ECB reference rate (Frankfurter)
2026-05-22,1517.55,ECB reference rate (Frankfurter)
2026-05-25,1513.75,ECB reference rate (Frankfurter)
2026-05-26,1505.3,ECB reference rate (Frankfurter)
2026-05-27,1499.7,ECB reference rate (Frankfurter)
2026-05-28,1502.83,ECB reference rate (Frankfurter)
2026-05-29,1506.27,ECB reference rate (Frankfurter)
2026-06-01,1508.64,ECB reference rate (Frankfurter)
